Floor Unit,Crane No.,T Port No.,D Position Fork To T Port Distance Front Left,D Position Fork To T Port Distance Rear Left,D Position Fork To T Port Distance Front Right,D Position Fork To T Port Distance Rear Right,U Position Fork To T Port Distance Front Left,U Position Fork To T Port Distance Rear Left,U Position Fork To T Port Distance Front Right,U Position Fork To T Port Distance Rear Right,Fork Center To T Port Center Distance,Crane Move Center To T Port Distance
East GF,21,214,38,31,36,29,99,101,99,106,4.0,2
East GF,22,224,28,35,30,36,105,101,105,106,1.0,-2
East GF,27,274,28,29,25,25,102,100,101,107,1.0,2
East GF,28,284,36,33,44,44,94,102,84,88,1.0,-4
East GF,21,213,45,41,48,45,87,90,85,88,3.0,-2
East GF,22,223,35,25,34,29,85,94,90,90,1.0,-12
East GF,23,233,38,34,54,51,100,104,83,88,1.0,0
East GF,27,273,31,35,44,45,103,98,93,89,-4.0,0
East GF,28,283,37,36,37,37,97,98,94,102,2.0,10
East GF,29,293,31,28,28,28,89,94,95,97,0.5,4
